Course Name,Course Title,Credits,Description,Prerequisite,Concurrent,Attributes
MATH 251H,Honors Ordinary and Partial Differential Equations,4 Credits,"Honors course in first- and second-order equations; special functions; Laplace transform solutions; higher order equations; Fourier series; partial differential equations.MATH 251HHonors Ordinary and Partial Differential Equations (4) This course serves as an introduction to ordinary and partial differential equations. Topics include various techniques for solving first and second order ordinary differential equations, an introduction to numerical methods, solving systems of two ordinary differential equations, nonlinear differential equations and stability, Laplace transforms, Fourier series, and partial differential equations.The typical delivery format for the course is four 50-minute lectures per week, with typical assessment tools including examinations, quizzes, homework, and writing assignments.In contrast to the non-honors version of this course, the honors version is typically more theoretical and will often include more sophisticated problems. Moreover, certain topics are often discussed in more depth and are sometimes expanded to include applications which are not visited in the non-honors version of the course.",MATH 141orMATH 141BorMATH 141EorMATH 141GorMATH 141H,,
MATH 252,Partial Differential Equations,1 Credits,"Fourier series; partial differential equations. Students who have passedMATH 251may not schedule this course for credit. This course serves as the continuation ofMATH 250(Ordinary Differential Equations) and provides an elementary treatment of partial differential equations and Fourier series. Once a student completes bothMATH 250(3 credits) andMATH 252(1 credit), the student will have completed all of the material inMATH 251(4 credits). In particular, the student will be able to find solutions to given partial differential equations and will be able to utilize the tools from the field of Fourier series in the process.",None,,
MATH 296,Independent Studies,1-18 Credits/Maximum of 18,"Creative projects, including nonthesis research, which are supervised on an individual basis and which fall outside the scope of formal courses.",Bachelor of Arts: Quantification,,
MATH 297,Special Topics,1-9 Credits/Maximum of 9,"Formal courses given infrequently to explore, in depth, a comparatively narrow subject which may be topical or of special interest.",Bachelor of Arts: Quantification,,
MATH 310,Elementary Combinatorics,3 Credits,"Fundamental techniques of enumeration and construction of combinatorial structures, permutations, recurrences, inclusion-exclusion, permanents, 0, 1- matrices, Latin squares, combinatorial designs.",MATH 220orMATH 220H,,
MATH 310H,Honors Concepts of Combinatorics,3 Credits,Honors version of elementary and enumerative combinatorics.,Prerequisite:MATH 220,,
MATH 311M,Honors Concepts of Discrete Mathematics,3 Credits,"Basic methods of mathematical thinking and fundamental mathematical structures, primarily in the context of numbers, groups, and symmetries.",Bachelor of Arts: Quantification,,
MATH 311W,Concepts of Discrete Mathematics,3-4 Credits,Introduction to mathematical proofs; elementary number theory and group theory.  Students who have passedCMPSC 360may not schedule this course for credit.,MATH 141orMATH 141BorMATH 141EorMATH 141GorMATH 141H,,
MATH 312,Concepts of Real Analysis,3 Credits,"An introduction to rigorous analytic proofs involving properties of real numbers, continuity, differentiation, integration, and infinite sequences and series.",MATH 141orMATH 141BorMATH 141EorMATH 141GorMATH 141H,,
MATH 312H,Honors Concepts of Real Analysis,3 Credits,"Basic methods of mathematical thinking and fundamental structures, primarily in the context of infinite sets, real numbers, and metric spaces.",MATH 141orMATH 141BorMATH 141EorMATH 141GorMATH 141H,,
MATH 313H,Concepts of Geometry,3 Credits,"Development thorough understanding and technical mastery of foundations of modern geometry.MATH 313HConcepts of Geometry (3) The central aim of this course is to develop thorough understanding and technical mastery of foundations of modern geometry. Basic high school geometry is assumed; axioms are mentioned, but not used to deduce theorems. Approach in development of the Euclidean geometry of the plane and the 3-dimensional space is mostly synthetic with an emphasis on groups of transformations. Linear algebra is invoked to clarify and generalize the results in dimension 2 and 3 to any dimension. It culminates in the last part of the course where six 2-dimensional geometries and their symmetry groups are discussed. This course is a a part of a new ""pre-MASS"" program (PMASS)aimed at freshman/sophomore level students, which will operate in steady state in the spring semesters. This course is directly linked with a proposed course Math 313R, its 1-credit recitation component. It is highly recommended to all mathematics, physics and natural sciences majors who are graduate school bound, and is a great opportunity for all Schreyer Scholars. The following topics will be covered: Euclidean geometry of the plane (distance, isometries, scalar product of vectors, examples of isometries: rotations, reflections, translations, orientation, symmetries of planar figures, review of basic notions of group theory, cyclic and dihedral groups, classification of isometries of Euclidean plane, discrete groups of isometries and crystallographic restrictions. similarity transformations, selected results from classical Euclidean geometry}; Euclidean geometry of the 3-dimensional space and the sphere (distance, isometries, scalar product of vectors, planes and lines in the 3-dimensional space, normal vectors to planes, classification of pairs of lines, isometries with a fixed point: rotations and reflections, orientation, isometries of the sphere, classification of orientation-reversing isometries with a fixed point, finite groups of isometries of the 3-dimensional space, existence of a fixed point, examples: cyclic, dihedral, and groups of symmetries of Platonic solids, classification of isometries without fixed point: translations and screw-motions, intrinsic geometry of the sphere, elliptic plane: a first example of non-Euclidean geometry); Elements of linear algebra and its application to geometry in 2, 3, and n dimension (real and complex vector spaces. linear independence of vectors, basis and dimension, eigenvalues and eigenvectors, diagonalizable matrices, classification of matrices in dimension 2: elliptic, hyperbolic and parabolic matrices, orthogonal matrices and isometries of the n-dimensional space); Six 2-dimensional geometries (Projective geometry, affine geometry, inversions and conformal geometry, Euclidean geometry revisited, geometry of elliptic plane, hyperbolic geometry). The achievement of educational objectives will be assessed through weekly homework, class participation, and midterm and final exams.",MATH 140HandMATH 311Mor MATH 312H,,
"MATH 316: Upperclass Seminar: Careers, Graduate Study, and Opportunities in Mathematics",,1 Credits,"This course is designed to prepare sophomore, junior and senior mathematics majors to take advantage of opportunities provided by the mathematics department and university in selecting and pursuing a career path. Some class sessions will involve professional development activities and information about career-related resources; others will consist of presentations and discussions with guest lecturers chosen to represent possible career pathways in mathematics and related fields.",thirds-semester standing,,
MATH 318,Elementary Probability,3 Credits,"Combinatorial analysis, axioms of probability, conditional probability and independence, discrete and continuous random variables, expectation, limit theorems, additional topics.  Students who have passed either MATH(STAT) 414 or 418 may not schedule this course for credit.",MATH 141,,
MATH 319,Elementary Mathematical Statistics,3 Credits,"Statistical inference: principles and methods, estimation and testing hypotheses, regression and correlation analysis, analysis of variance, computer analysis.  Students who have passed STAT (MATH) 415 may not schedule this course for credit.",MATH 318orSTAT 318orMATH 414orSTAT 414orSTAT 418orMATH 418,,
MATH 397,Special Topics,1-9 Credits/Maximum of 9,"Formal courses given infrequently to explore, in depth, a comparatively narrow subject which may be topical or of special interest.",Bachelor of Arts: Quantification,,
MATH 399,Foreign Studies,1-12 Credits/Maximum of 12,Courses offered in foreign countries by individual or group instruction.,Bachelor of Arts: Quantification,,
MATH 400,Teaching in Mathematics,1-2 Credits/Maximum of 6,"Mathematics Learning Assistants will participate in the instruction of undergraduate mathematics courses. InMATH 400Teaching in Mathematics (1-2), students will learn about and gain experience in leading and facilitating in-class and out-of-class group discussions and group problem-solving sessions. Students will be members of a teaching community, interact with a supervising mathematics faculty member, and learn teaching strategies on how to facilitate and help engage undergraduate students in discussions and group work.",4 credits in mathematics and permission of the department Concurrent Course:SC 220,,
MATH 401,Introduction to Analysis I,3 Credits,"Review of calculus, properties of real numbers, infinite series, uniform convergence, power series. Students who have passed Math. 403 may not schedule this course.",MATH 230orMATH 231,,
MATH 403,Classical Analysis I,3 Credits,"Topology of Rn, compactness, continuity of functions, uniform convergence, Arzela-Ascoli theorem in the plane, Stone-Wierstrass theorem.",MATH 312,,
MATH 403H,Honors Classical Analysis I,3 Credits,"Development of a thorough understanding and technical mastery of foundations of classical analysis in the framework of metric spaces.MATH 403HHonors Classical Analysis I (3)The central aim of this course is to develop thorough understanding and technical mastery of foundations of classical analysis in the framework of metric spaces rather than multidimensional Euclidean spaces. This level of abstraction is essential since it is in the background of functional analysis, a fundamental tool for modern mathematics and physics. Another motivation for studying analysis in this wider context is that many general results about functions of one or several real variables are more easily grasped at this more abstract level, and, besides, the same methods and techniques are applicable to a wider class of problems, e.g. to the study of function spaces. This approach also brings to high relief some of the fundamental connections between analysis on one hand and (higher) algebra and geometry on the other. This course is a sequel to Math 312H; it is highly recommended to all mathematics, physics and natural sciences majors who are graduate school bound, and is a great opportunity for all Schreyer Scholars. The following topics will be covered: Metric spaces (topology, convergence, Cauchy sequences and completeness); Maps between metric spaces (continuous maps and homeomorphisms, stronger continuity properties:uniform continuity, Hoelder and Lipschitz continuity, contraction mapping principle, points of discontinuity and the Baire Category Theorem); Compact metric spaces (continuity and compactness, connectedness, total boundedness, coverings and Lebesgue number, perfect metric spaces, characterization of Cantor sets, fractals); Function spaces (spaces of continuous maps, uniform continuity and equicontinuity,Arzela-Ascoli Theorem, uniform approximation by polynomials. Stone-Weierstrass Theorem).",MATH 311MandMATH 312H,,
MATH 404,Classical Analysis II,3 Credits,"Differentiation of functions from Rn to Rm, implicit function theorem, Riemann integration, Fubini's theorem, Fourier analysis.",MATH 403,,
MATH 405,Advanced Calculus for Engineers and Scientists I,3 Credits,"Vector calculus, linear algebra, ordinary and partial differential equations. Students who have passedMATH 411or412may not take this course for credit.",(MATH 230orMATH 231) and (MATH 250orMATH 251),,
MATH 406,Advanced Calculus for Engineers and Scientists II,3 Credits,"Complex analytic functions, sequences and series, residues, Fourier and Laplace transforms.  Students who have passedMATH 421may not take this course for credit.",MATH 405,,
MATH 410,Complex Analysis for Mathematics and Engineering,3 Credits,"Complex analytic functions; Cauchy-Riemann equations; complex contour integrals; Cauchy's integral formula; Taylor and Laurent series; residue theory; applications in engineering.MATH 410Complex Analysis for Mathematics and Engineering (3) A succinct stand-alone course description (up to 400 words) to be made available to students through the on-line Bulletin and Schedule of Courses. This is a complex analysis course designed for students in mathematics, applied mathematics, engineering, science, and related fields. Topics include complex numbers; analytic functions, complex differentiability, and the Cauchy-Riemann equations; complex exponential, logarithmic, power, and trigonometric functions; complex contour integrals; Cauchy's theorem; Cauchy's integral formula; Taylor and Laurent series; residue theory; and various applications in areas of science and engineering. This course focuses on the definitions, concepts, calculation techniques, supporting theory, and examples of applications suited to the usage of complex analysis in mathematics, applied mathematics, science, and engineering. Students who have passedMATH 406orMATH 421may not take this course for credit.",MATH 230orMATH 232,,
MATH 411,Ordinary Differential Equations,3 Credits,Linear ordinary differential equations; existence and uniqueness questions; series solutions; special functions; eigenvalue problems; Laplace transforms; additional topics and applications.,(MATH 230orMATH 231) and (MATH 250orMATH 251),,
MATH 412,Fourier Series and Partial Differential Equations,3 Credits,"Orthogonal systems and Fourier series; derivation and classification of partial differential equations; eigenvalue function method and its applications; additional topics.MATH 412Fourier Series and Partial Differential Equations (3) (BA) This course meets the Bachelor of Arts degree requirements.The purpose ofMATH 412is to introduce students to the origins, theory, and applications of partial differential equations. Several basic physical phenomena are considered - including flows, vibrations, and diffusions - and used to derive the relevant equations. The fundamentals of the mathematical theory of partial differential equations are motivated and developed for the students through the systematic exploration of these classic physical systems and their corresponding equations: the Laplace, wave, and heat equations. In addition to treating the physical origins of the equations, this course focuses on solving evolution equations as initial value problems on unbounded domains (the Cauchy problem), and also on solving partial differential equations on bounded domains (boundary value problems). There is not one but many techniques for solving these equations, and the course presents some aspect of the expansion in orthogonal functions (including Fourier series), eigenvalue theory, functional analysis, and the use of separation of variables, Fourier transforms, and Laplace transforms to solve PDEs by converting them to ordinary differential equations. This course currently serves a cross-section of students at the university with interests or the need for this advanced subject mathematics, including students majoring in the engineering program, meteorology, physics, and mathematics. This typically includes the most advanced physics, engineering, and meteorology students, as well as mathematics majors with interests in applied mathematics.",MATH 230and (MATH 250orMATH 251),,
MATH 414,Introduction to Probability Theory,3 Credits,"STAT(MATH) 414 is an introduction to the theory of probability for students in statistics, mathematics, engineering, computer science, and related fields. The course presents students with calculus-based probability concepts and those concepts can be used to describe the uncertainties present in real applications. Topics include probability spaces, discrete and continuous random variables, transformations, expectations, generating functions, conditional distributions, law of large numbers, central limit theorems. Students may take only one course from STAT(MATH) 414 and 418.",MATH 230or MATH 232or (MATH 231andRM 214),,
MATH 415,Introduction to Mathematical Statistics,3 Credits,"A theoretical treatment of statistical inference, including sufficiency, estimation, testing, regression, analysis of variance, and chi-square tests.",MATH 414orSTAT 414,,
MATH 416,Stochastic Modeling,3 Credits,"Review of distribution models, probability generating functions, transforms, convolutions, Markov chains, equilibrium distributions, Poisson process, birth and death processes, estimation.",(STAT 318orMATH 318orSTAT 414orMATH 414) and (MATH 230orMATH 232),,
MATH 417,Qualitative Theory of Differential Equations,3 Credits,"Linear differential equations, stability of stationary solutions, ordinary bifurcation, exchange of stability, Hopf bifurcation, stability of periodic solutions, applications.MATH 417Qualitative Theory of Differential Equations (3) (BA) This course meets the Bachelor of Arts degree requirements.The main objective of the course is the qualitative theory of ordinary differential equations such as existence and uniqueness of solutions, dependence on initial data and parameters, and basic stability of solutions for both linear and nonlinear equations. It is designed to introduce students to modern concepts including the bifurcation theory, intermittent (transitional) and chaotic behavior of solutions and dynamical system approach to differential equations. Along the way, a number of applications are discussed and students get familiar with some basic examples illustrating main principles of the theory, such as Lorenz attractor, predator-prey models, etc. The course is completed by students majoring in engineering programs, the sciences, and mathematics.",MATH 220and (MATH 250orMATH 251),,
MATH 418,Introduction to Probability and Stochastic Processes for Engineering,3 Credits,"Introduction to probability axioms, combinatorics, random variables, limit laws, and stochastic processes. Students may take only one course from MATH414 /STAT 414andMATH 418/STAT 418for credit.STAT 418/MATH 418Introduction to Probability and Stochastic Processing for Engineering (3) This course gives an introduction to probability and random processes. The topics are not covered as deeply as in a semester-long course in probability only or in a semester-long course in stochastic processes only. It is intended as a service course primarily for engineering students, though no engineering background is required or assumed.The topics covered include probability axioms, conditional probability, and combinatorics; discrete random variables; random variables with continuous distributions; jointly distributed random variables and random vectors; sums of random variables and moment generating functions; and stochastic processes, including Poisson, Brownian motion, and Gaussian processes.",MATH 230orMATH 231,,
MATH 419,Theoretical Mechanics,3 Credits,"Principles of Newtonian, Lagrangian, and Hamiltonian mechanics of particles with applications to vibrations, rotations, orbital motion, and collisions.PHYS 419/MATH 419Theoretical Mechanics (3) A second course in classical mechanics, required of all physics majors who typically take it in their 5th or 6th semester. The course includes a review of relevant mathematics, detailed discussions of advanced topics in Newtonian mechanics, introductions to Lagrangian and Hamiltonian dynamics, and applications to such forced oscillations, orbital motion, vibrational motion and normal modes, rigid body motion, and collisions.It is a prerequisite for Physics 461, which is a second semester extension. It is also a valuable background for most 400-level physics courses, especially Physics 410.",(MATH 230orMATH 231) and (MATH 250orMATH 251) andPHYS 212andPHYS 213andPHYS 214,,
MATH 421,Complex Analysis,3 Credits,"Infinite sequences and series; algebra and geometry of complex numbers; analytic functions; integration; power series; residue calculus; conformal mapping, applications.",(MATH 230orMATH 232orMATH 405) and (MATH 401orMATH 403),,
MATH 425,Introduction to Operations Research,3 Credits,"Nature of operations research, problem formulation, model construction, deriving solution from models, allocation problems, general linear allocation problem, inventory problems.",MATH 141andMATH 220,,
MATH 426,Introduction to Modern Geometry,3 Credits,Plane and space curves; space surfaces; curvature; intrinsic geometry of surfaces; Gauss-Bonnet theorem; covariant differentiation; tensor analysis.,MATH 401orMATH 403,,
MATH 427,Foundations of Geometry,3 Credits,Euclidean and various non-Euclidean geometries and their development from postulate systems. Students who have passedMATH 427may not scheduleMATH 471.,MATH 230orMATH 231,,
MATH 428,Geometry for Teachers,1 Credits,"Research in mathematics education using ideas from Euclidean and non-Euclidean geometry. Students who have passedMATH 471may not scheduleMATH 427.MATH 428Geometry for Teachers (1)MATH 428is designed to introduce students to mathematics education and research in education. The student will present topics in written and verbal classroom reports. Students will be evaluated on research papers and classroom presentations of those papers, classroom technology demonstration of geometry topics, and classroom demonstration of teaching geometry.This course supplementsMATH 427by providing the education component that is required by the state of Pennsylvania for obtaining certification in teaching mathematics. This course is offered only at Penn State Erie, The Behrend College.",MATH 311W. Prerequisite or concurrent:MATH 427,,
MATH 429,Introduction to Topology,3 Credits,"Metric spaces, topological spaces, separation axioms, product spaces, identificaiton spaces, compactness, connectedness, fundamental group.",MATH 311W,,
MATH 430,Linear Algebra and Discrete Models I,3 Credits,"Vector spaces, linear transformations, matrices determinants, characteristic values and vectors, systems of linear equations, applications to discrete models.",MATH 220,,
MATH 435,Basic Abstract Algebra,3 Credits,"Elementary theory of groups, rings, and fields. Students who have passedMATH 435may not scheduleMATH 470.",MATH 311Wor MATH 315,,
MATH 436,Linear Algebra,3 Credits,"Vector spaces and linear transformations, canonical forms of matrices, elementary divisors, invariant factors; applications. Students who have passedMATH 436may not scheduleMATH 441.",MATH 311W,,
MATH 436H,Linear Algebra,3 Credits,"Vector spaces and linear transformations, canonical forms of matrices, elementary divisors, invariant factors; applications.",Honors,,
MATH 437,Algebraic Geometry,3 Credits,"Study of curves in the plane defined by polynomial equations p(x,y)= 0. Projective equivalence, singular points, classification of cubics.MATH 437Algebraic Geometry (3)(BA) This course meets the Bachelor of Arts degree requirements. The geometric study of algebraic equations is one of the oldest and deepest parts of mathematics, and it lies at the heart of modern developments in geometry, algebra, number theory and physics. Students completingMATH 437will understand many new algebraic and geometric ideas by studying examples of curves defined by equations of degrees 2 and 3 in the plane. Fist come conics (given by equations of degree 2 in two variables). Rigid motions, similarities, and affine transformations give different classifications of them. New ideas then show how to get a conic through any five points and prove Pascal's theorem about six points on a conic. Special cases suggest extension of the usual plane to the projective plane, with ""points at infinity,"" homogeneous coordinates, and projective transformations.The main part of the course turns to equations of degree 3 and their singularities, flex points, tangents, and degeneracies. Several new ideas, both algebraic and analytic, are brought in to prove the existence of complex flex points on singular cubics and then real flex points on nonsingular real cubics. There is then a classification on complex projective cubics by a single parameter and finally a full classification of all real projective cubics.As time permits, relations to further topics are sketched: addition of points on a nonsingular cubic, Mordell's theorem, doubly periodic functions, and Fermat's last theorem.The course is typically taken by mathematics majors.",(MATH 230orMATH 231) andMATH 311W,,
MATH 441,Matrix Algebra,3 Credits,"Determinants, matrices, linear equations, characteristic roots, quadratic forms, vector spaces. Students who have passed Math 436 may not schedule this course.",MATH 220,,
MATH 448,Mathematics of Finance,3 Credits,"The course provides a foundational knowledge of the mathematics and mathematical models of finance, primarily of option pricing, hedging, and portfolio optimization. The topics include the definition of various financial securities and instruments (e.g. bonds, stocks, forward contracts, and options), the theory of interest, the No-Arbitrage Principle, measures of return and volatility, the Markowitz model of portfolio theory, the Capital Asset Pricing Model, the pricing of forward contracts, option trading strategies, the pricing of options via binomial models and the Black-Scholes model, and principles of hedging.",MATH 141and (STAT 200or STAT 301 orMATH 318orSTAT 318orSTAT 401orMATH 414orSTAT 414),,
MATH 449,Applied Ordinary Differential Equations,3 Credits,"Differential and difference equations and their application to biology, chemistry, and physics; techniques in dynamical systems theory.MATH 449Mathematical Modeling (3) Many phenomena that arise in the natural sciences, such as the motion of pendulum or signal conduction in neurons or oscillations in certain chemical reactions, can be modeled using nonlinear differential equations. This course will develop the mathematical techniques needed to investigate such differential equations. These techniques include the study of equilibria, stability, phase plane analysis, bifurcation analysis and chaos. The course will assume prior knowledge of ordinary differential equations at theMATH 250/251 level; this is the only prerequisite for the course. We will focus on understanding and interpreting the behavior of the solutions to the differential equation models rather than on deriving the model equations themselves. Evaluation will be based on midterm exams, a final exam, graded homework, and graded longer projects which may involve computer work. The course should be of interest to any science or engineering major and some models will be chosen to reflect the fields of interest of the class. The goal is for the students to be able to apply the techniques learned in the course to mathematical models that they will encounter in other classes or situations. The class will be offered every other year with an expected enrollment of 10-15 students.",MATH 250orMATH 251,,
MATH 450,Mathematical Modeling,3 Credits,"Constructing mathematical models of physical phenomena; topics include pendulum motion, polymer fluids, chemical reactions, waves, flight, and chaos.MATH 450Mathematical Modeling (3) The purpose of the course is to introduce mathematical modeling, i.e., the construction of mathematical structures which capture relevant physical phenomena. The course will systematically explore mathematical ideas and tools used to study the natural world. Particular emphasis will be placed on the process of creating a mathematical model starting from a physical scenario. Typically this process will begin with an experiment either demonstrated in the W. G. Pritchard Lab or performed by the students in class.Once a particular model has been developed, students will use mathematical analysis and experimentation to determine the properties and relevance of the model, and to make predictions. Often the model can be satisfactory; however, many times one also finds new features of the system that are not adequately accounted for in the model, and the process begins again. It is this cycle the course will focus on. For a given phenomenon (e.g., flow of viscous fluid, pendulum motion) several models may be compared and contrasted, and possible simplifications will be discussed.A significant aspect of the course is its laboratory component, in which the students will perform experiments or observe demonstrations. However, the main emphasis will be placed on creating and rigorously analyzing the mathematical aspects of the models. Instead of presenting a finely tuned model for a given phenomenon, this course will try to convey some of the heuristic, intuitive, and mathematical ideas employed in modeling.Examples of physical systems to be considered include: simple and compound pendulum motion, chemical oscillations, water waves, and elastic behavior of polymer solutions.The course is open to a wide range of undergraduate as well as graduate students with majors in mathematics, biology, chemistry, engineering, and physics. The course should be accessible to students with some basic knowledge of mathematical analysis and differential equations. Main topics include: modeling with ordinary differential equations; bifurcation theory and stability; traveling waves in epidemics, chemical reactions, free fluid surfaces, and polymer solutions; fluctuations in nature, stochastic differential equations and chaos.",(MATH 315 andMATH 430) orMATH 405orMATH 412,,
MATH 451,Numerical Computations,3 Credits,"ALGORITHMS FOR INTERPOLATION, APPROXIMATION, INTEGRATION, NONLINEAR EQUATIONS, LINEAR SYSTEMS, FAST FOURIER TRANSFORM, AND DIFFERENTIAL EQUATIONS EMPHASIZING COMPUTATIONAL PROPERTIES AND IMPLEMENTATION.  STUDENTS MAY TAKE ONLY ONE COURSE FOR CREDIT FROM MATH 451 AND 455.",(CMPSC 101orCMPSC 121orCMPSC 131orCMPSC 200orCMPSC 201) and (MATH 230orMATH 231),,
MATH 452,Deep Learning Algorithms and Analysis,3 Credits,"This is an undergraduate course on the introduction of basic mathematical, numerical and practical aspects of deep learning techniques. It will provide students with the mathematical background and also practical tools needed to understand, to analyze and to further develop numerical methods for deep learning and applications. The course is simultaneously geared towards math students who want to learn about the emerging technology of deep learning and also towards students from other fields who are interested in deep learning application but would like to strengthen their theoretical foundation and mathematical understanding. This course will allow students to fulfill 400-level math course requirement for Math Majors/Minors (or for other Majors as approved by student advisor). The course will cover some basic deep learning models such as the basic deep neural networks, convolutional neural networks, training algorithms such as stochastic gradient descent methods, popular data bases such as MNIST and CIFAR and specific applications such as image classifications. Traditional numerical methods such as finite element and multigrid method will also be introduced to motivate and to understand how and why deep neural networks work.",MATH 220and (MATH 230orMATH 231) and (CMPSC 101orCMPSC 121orCMPSC 131orCMPSC 200orCMPSC 201),,
MATH 455,Introduction to Numerical Analysis I,3 Credits,"Floating point computation, numerical rootfinding, interpolation, numerical quadrature, direct methods for linear systems.  Students may take only one course for credit fromMATH 451andMATH 455.",(CMPSC 201or CMPSC 202 orCMPSC 121orCMPSC 131) andMATH 220and (MATH 230orMATH 231),,
MATH 455H,Introduction To Numerical Analysis I,3 Credits,"FLOATING POINT COMPUTATION, NUMERICAL ROOTFINDING, INTERPOLATION, NUMERICAL QUADRATURE, DIRECT METHODS FOR LINEAR SYSTEMS.  STUDENTS MAY TAKE ONLY ONE COURSE FOR CREDIT FROM MATH 451 AND MATH 455.",Cross-Listed,,
MATH 456,Introduction to Numerical Analysis II,3 Credits,"Polynomial and piecewise polynomial approximation, matrix least squares problems, numerical solution of eigenvalue problems, numerical solution of ordinary differential equations.",MATH 455,,
MATH 457,Introduction to Mathematical Logic,3 Credits,"Propositional logic, first-order predicate logic, axioms and rules of inference, structures, models, definability, completeness, compactness. Logic forms the foundation of all mathematical reasoning. To prove a mathematical theorems, one deduces them step by step from basic principles, called axioms, or from other statements previously deduced. Each step of a proof has to be a logically valid rule, such as, for example, the modus ponens: ""If A holds, and A implies B, then B holds."" In Math 457, students will learn how concepts such as axiom, theorem, proof, and truth can be formulated as a mathematical theory, that is, logical reasoning will be studied as a mathematical subject. The simplest kind of logical system is propositional logic. Here, the basic components are whole statements which are either true or false, and which can be combined using logical connectives such AND, OR, or NOT to form new statements. Its simple nature makes propositional logic a good system to introduce many of the basic ideas: syntax and semantics, proof systems, completeness and compactness. However, propositional logic does not capture mathematical reasoning adequately. Therefore, one considers (first-order) predicate logic. Students will learn how formulas are formed according to syntactical rules. They will also study how a mathematical theory is defined as a set of formulas, how a proof is formally defined, and what constitutes a proof system. The syntactical notions above are contrasted with mathematical semantics, which considers structures over which formulas can be interpreted. This way, one can rigorously define whether a formal statement is true in a given mathematical structure, in which case we say the structure is a model of the statement. For example, the integers with addition are a model of the statement ""for every x there exists a y such that x+y =0"". A central goal of mathematical logic is to explore how the syntactical side (formulas, axioms, proof systems) and the semantical side (mathematical structures such as the additive group of integers) interact. Two fundamental results in this regard will be covered: the completeness theorem says that one can prove a statement from a set of axioms if and only if the statement is true in any structure satisfying all axioms. The compactness theorem, in turn, is an important consequence of the completeness theorem. It has profound implications for the existence and construction of mathematical structures. Students who would like to enroll in Math 457 are required to have some knowledge of mathematical proofs as provided in Math 311W.",Bachelor of Arts: Quantification,,
MATH 465,Number Theory,3 Credits,"Elements, divisibility of numbers, congruences, residues, and forms.MATH 465Number Theory (3) (BA) This course meets the Bachelor of Arts degree requirements.This course serves as an upper-level introduction to the fundamentals of elementary number theory. A major emphasis in the course is placed on the role that the prime numbers play in the study of properties of the integers along with the related topics of divisibility and factorization of integers. Additional topics covered in the course include congruences (and the theorems of Euler and Fermat which are classics in this area), properties of arithmetic functions including those which are multiplicative, and other topics such as Pythagorean triples and representations of numbers as sums of squares. This course is completed by a wide variety of students across the university, especially those majoring in mathematics. (In many of the options in the MTHBS degree,MATH 465can be used to satisfy one of the major requirements.) The course is also taken quite frequently by non-mathematics majors who wish to use the course to satisfy an upper-level requirement for the mathematics minor.",MATH 311W,,
MATH 467,Factorization and Primality Testing,3 Credits,"Prime sieves, factoring, computer numeration systems, congruences, multiplicative functions, primitive roots, cryptography, quadratic residues. Students who have passedMATH 465may not schedule this course.",CMPSC 360orMATH 311W,,
MATH 468,Mathematical Coding Theory,3 Credits,"Shannon's theorem, block codes, linear codes, Hamming codes, Hadamard codes, Golay codes, Reed-Muller codes, bounds on codes, cyclic codes.",MATH 311W,,
MATH 470,Algebra for Teachers,3 Credits,"An introduction to algebraic structures and to the axiomatic approach, including the elements of linear algebra. Designed for teachers and prospective teachers. Students who have passed Math 435 may not schedule this course.",MATH 311W,,
MATH 471,Geometry for Teachers,4 Credits,"Problem solving oriented introduction to Euclidean and non-Euclidean geometries; construction problems and geometrical transformations via ""Geometer's Sketchpad"" software.  Intended primarily for those seeking teacher certification in secondary mathematics.  Students who have passedMATH 427may not schedule this course.",MATH 311W,,
MATH 475Y,History of Mathematics,3 Credits,"A global survey of the history of mathematics as viewed as a human response to cultural, political, economic, and societal pressures.  MATH 475W Introduction to the History of Mathematics (3) (DF) The primary goal of this course is to explore where mathematics comes from, how it was labored on, how ideas were preceived, and how theories developed. Development in algebra, geometry, arthimetic and calculus will be discussed.A second goal is to help students understand the importanct of written communication in mathematics and to provide opportunities for students to improve the quality of their writing. The primary means for accomplishing this goal will be four papers, 4-8 pages in length. These will be written for an audience of mathematically-knowledgeable readers. In addition, each quiz will contain at least one essay question.Students will be evaluated on quizzes, homework, papers, and a final exam. Quizzes will total 250 points, the papers 200 points, and the final exam 150 points.This course is a required course in the Mathematical Science (MA SC) BS curriculum. This course is also available as an elective for students in the Computer Science (COMP) program.No special facilities are required for this course. This course will be offered once per year, with an expected enrollment of 25-40 students.",MATH 315 orMATH 311W,,
MATH 479,Special and General Relativity,3 Credits,"Mathematical description, physical concepts, and experimental tests of special and general relativity.MATH 479/PHYS 479Special and General Relativity (3) This course is intended as an elective course (within the undergraduate Physics program) for Physics majors to be taken in their senior year. Intended to be cross-listed with MATH, it can also be used in support of a Mathematics minor and, in some options, within the Math program as a program elective as well. The course significantly expands upon the introduction to Special Relativity (SR) seen inPHYS 237, including discussions of experimental tests of SR and applications to relativistic mechanics. It then introduces students to the mathematical machinery required to understand General Relativity (GR), starting with the description of curved spacetimes and geodesics. It discusses solutions to the Einstein equations and surveys the classic tests which established the validity of General Relativity. It concludes with applications of GR in such areas as black hold physics, the generation and detection of gravitational waves, other topics (such as cosmology, relativistic astrophysics, etc.).",PHYS 237andPHYS 400andPHYS 419and (MATH 250orMATH 251) and (MATH 230orMATH 231),,
MATH 482,Mathematical Methods of Operations Research,3 Credits,Survey of linear and nonlinear programming; mathematics of optimization; queues; simulation.,MATH 220andMATH 230and STAT 301,,
